MSHS,Họ và Tên,Lớp,Toán,Văn,Anh,Tin học,ĐTB
HS028,Học sinh 28,10A2,8.9,9.8,5,7.9,7.32
HS029,Học sinh 29,11B2,5.2,8.8,8.4,7.5,7.66
HS030,Học sinh 30,12C2,7.3,5.7,8.1,7.6,7.36
HS031,Học sinh 31,12C2,4.4,7,8.6,7.3,7.18
HS032,Học sinh 32,10A2,8,7.1,7.1,9,7.66
HS033,Học sinh 33,10A3,7.1,5.2,8.6,9,7.7
HS034,Học sinh 34,11B1,6.5,8,5.6,8.7,6.88
HS035,Học sinh 35,11B1,6.5,8.8,7.3,7.3,7.44
HS036,Học sinh 36,12C1,6.3,7.5,4.3,8.5,6.18
HS037,Học sinh 37,12C2,4.1,9.2,8.3,10,7.98
HS038,Học sinh 38,12C1,4.2,6.3,6.8,8.8,6.58
HS039,Học sinh 39,12C1,5.7,8.8,9.6,7.2,8.18
HS040,Học sinh 40,12C2,3.2,7.4,5.1,9.5,6.06
HS041,Học sinh 41,10A3,8,6.8,8.2,8.2,7.88
HS042,Học sinh 42,11B1,6.9,7.4,5.3,7,6.38
HS043,Học sinh 43,12C2,5.8,4.9,4.3,6.9,5.24
HS044,Học sinh 44,12C1,7.3,10,7.5,7.7,8
HS045,Học sinh 45,12C1,3.4,6.4,4.9,7.3,5.38
HS046,Học sinh 46,10A1,8.6,5.4,3.4,9,5.96
HS047,Học sinh 47,10A2,8.5,6.9,7,9.4,7.76
HS048,Học sinh 48,10A1,6.2,7.2,6.7,7.8,6.92
HS049,Học sinh 49,12C1,5.4,8.6,5.5,8.3,6.66
HS050,Học sinh 50,12C2,3.6,9.3,7.3,8.6,7.22
HS051,Học sinh 51,10A1,6.7,6,10,8.6,8.26
HS052,Học sinh 52,11B1,5.9,8.3,6.2,8.9,7.1
HS053,Học sinh 53,12C1,10,8.5,2.9,8.7,6.6
HS054,Học sinh 54,10A1,6,3.5,5.3,9.3,5.88
HS055,Học sinh 55,10A2,6.8,9,6.3,8.2,7.32
HS056,Học sinh 56,10A2,7.5,6.2,7.5,10,7.74
HS057,Học sinh 57,12C2,9.3,6.8,7.2,7.9,7.68
HS058,Học sinh 58,10A3,7.6,9.3,7,7.6,7.7
HS059,Học sinh 59,12C2,5,4.4,6.2,8.6,6.08
HS060,Học sinh 60,12C1,5.1,7.7,9.9,7.1,7.94
HS061,Học sinh 61,10A2,10,6.6,8.9,10,8.88
HS062,Học sinh 62,12C2,8.3,8.3,8.5,10,8.72
HS063,Học sinh 63,10A1,10,3.6,6.7,9.1,7.22
HS064,Học sinh 64,10A1,6.3,7.4,5.2,7.8,6.38
HS065,Học sinh 65,12C1,5,7.8,8.8,8,7.68
HS066,Học sinh 66,10A2,6.1,5.3,10,8.5,7.98
HS067,Học sinh 67,10A2,9.3,7,8.6,9.1,8.52
HS068,Học sinh 68,10A1,4.7,8.6,10,10,8.66
HS069,Học sinh 69,10A3,5.3,4.7,5.7,9.7,6.22
HS070,Học sinh 70,12C1,2.9,8,9.3,9.4,7.78
HS071,Học sinh 71,10A3,10,6.5,8.4,8.2,8.3
HS072,Học sinh 72,10A1,7.4,8,7.2,8.8,7.72
HS073,Học sinh 73,11B1,9.8,9.1,3.4,8.1,6.76
HS074,Học sinh 74,10A1,5.8,6.9,10,8.9,8.32
HS075,Học sinh 75,12C2,6.8,6.7,5.4,8.7,6.6
HS076,Học sinh 76,12C2,3.1,6.9,8.8,8.3,7.18
HS077,Học sinh 77,10A2,9.7,5.8,5.7,9.9,7.36
HS078,Học sinh 78,12C2,1.3,7,5,9.3,5.52
HS079,Học sinh 79,10A3,8,5,7,8.2,7.04
HS080,Học sinh 80,10A2,9.3,7.7,8.1,9.2,8.48
HS081,Học sinh 81,10A3,8.7,6.6,4.1,7.7,6.24
HS082,Học sinh 82,10A1,8.3,6.5,7.2,7.7,7.38
HS083,Học sinh 83,11B1,4.6,6,9.9,7.8,7.64
HS084,Học sinh 84,10A3,7.8,8,4.1,9.3,6.66
HS085,Học sinh 85,11B1,3.6,9.9,5.5,7.6,6.42
HS086,Học sinh 86,11B2,6.7,10,8.9,7.9,8.48
HS087,Học sinh 87,11B1,4.7,6.9,10,6.8,7.68
HS088,Học sinh 88,10A1,9.1,6.3,6.9,8.2,7.48
HS089,Học sinh 89,10A1,8.5,6.5,9.7,7.8,8.44
HS090,Học sinh 90,10A1,7.8,8.4,3.8,7.9,6.34
HS091,Học sinh 91,12C2,6.5,8,10,8.8,8.66
HS092,Học sinh 92,11B2,4.7,9.5,5.5,7.9,6.62
HS093,Học sinh 93,10A1,8.2,7.3,8.4,7.4,7.94
HS094,Học sinh 94,10A2,6.8,6,7.5,10,7.56
HS095,Học sinh 95,12C1,5,8.8,5.9,10,7.12
HS096,Học sinh 96,12C2,7.3,9.6,5.1,9.2,7.26
HS097,Học sinh 97,12C1,6.4,7.6,10,9.8,8.76
HS098,Học sinh 98,12C2,7.8,7.3,7.4,6.3,7.24
HS099,Học sinh 99,12C2,9.3,5.4,3.6,8.4,6.06
HS100,Học sinh 100,11B2,6,8.1,9.2,7.1,7.92
HS101,Học sinh 101,10A3,8.5,5.1,6,7.4,6.6
HS102,Học sinh 102,10A3,8.1,8.1,7.2,8.9,7.9
HS103,Học sinh 103,10A3,6.8,5.7,4.1,8.3,5.8
HS104,Học sinh 104,10A2,7.4,5.3,5.7,8.2,6.46
HS105,Học sinh 105,12C2,4.6,7.8,6.8,8.3,6.86
HS106,Học sinh 106,10A1,8.3,5.3,7,8.8,7.28
HS107,Học sinh 107,12C1,7.5,6.3,10,8.8,8.52
HS108,Học sinh 108,10A2,8.9,7,10,9.6,9.1
HS109,Học sinh 109,11B2,5.3,8.9,5.3,8.3,6.62
HS110,Học sinh 110,12C2,5.6,7.4,4.9,7.8,6.12
HS111,Học sinh 111,10A2,5.7,6.8,6.3,6.4,6.3
HS112,Học sinh 112,10A2,8,8.7,7.2,7.6,7.74
HS113,Học sinh 113,10A2,10,8.6,3,9.6,6.84
HS114,Học sinh 114,11B2,8.8,5.5,3.2,9.4,6.02
HS115,Học sinh 115,11B2,7,7.2,6.6,6.2,6.72
HS116,Học sinh 116,12C1,4.8,6.2,7.1,7.7,6.58
HS117,Học sinh 117,11B2,6.8,7.4,7.5,8.8,7.6
HS118,Học sinh 118,10A1,10,6.4,8.1,9.3,8.38
HS119,Học sinh 119,10A3,5.5,7.3,5.7,9.1,6.66
HS120,Học sinh 120,12C1,4.2,8.5,7.4,10,7.5
HS121,Học sinh 121,10A1,5.7,7.7,4.7,8.8,6.32
HS122,Học sinh 122,11B1,7.8,5,5.5,6.4,6.04
HS123,Học sinh 123,11B2,8,6.6,8.7,7.4,7.88
HS124,Học sinh 124,10A1,7.9,5,9.6,9,8.22
HS125,Học sinh 125,12C2,6.3,7.6,8,10,7.98
HS126,Học sinh 126,11B2,6.7,6.9,6,8.1,6.74
HS127,Học sinh 127,11B2,4.9,6.5,8.5,8.7,7.42
HS128,Học sinh 128,10A1,7.6,7.9,6.5,9.8,7.66
HS129,Học sinh 129,12C1,6.5,8.7,2.3,10,5.96
HS130,Học sinh 130,10A1,8.5,6.2,8.7,6.3,7.68
HS131,Học sinh 131,10A3,4.6,8.6,9.4,7.6,7.92
HS132,Học sinh 132,10A2,8.5,5.9,8.3,10,8.2
HS133,Học sinh 133,12C2,7.7,9,6,8.9,7.52
HS134,Học sinh 134,11B1,9,8.1,6.3,9.3,7.8
HS135,Học sinh 135,12C1,1.5,8.5,10,7.6,7.52
HS136,Học sinh 136,12C2,5.1,8.1,8.5,7.6,7.56
HS137,Học sinh 137,10A2,8,6.3,10,9,8.66
HS138,Học sinh 138,10A3,6.4,5.7,7.3,9.3,7.2
HS139,Học sinh 139,12C2,7.3,7.4,7.6,7.4,7.46
HS140,Học sinh 140,12C1,5.5,6.8,8.3,10,7.78
HS141,Học sinh 141,11B1,9.6,8.4,7.4,8.9,8.34
HS142,Học sinh 142,10A2,7.1,8.5,5.7,8,7
HS143,Học sinh 143,11B1,6.1,9.1,3.6,10,6.48
HS144,Học sinh 144,10A1,6.8,7.5,8,9.8,8.02
HS145,Học sinh 145,10A3,9.3,3,6.5,9.1,6.88
HS146,Học sinh 146,10A2,9.3,6.4,6.1,8.6,7.3
HS147,Học sinh 147,10A3,7.6,6.1,1.6,8.4,5.06
HS148,Học sinh 148,10A1,9.6,3.7,5,9,6.46
HS149,Học sinh 149,11B1,10,5.1,7.2,9.6,7.82
HS150,Học sinh 150,10A1,6.4,4.8,4.3,6.6,5.28
HS151,Học sinh 151,10A3,7.3,3.3,4.1,10,5.76
HS152,Học sinh 152,10A3,10,2.5,2.8,7.3,5.08
HS153,Học sinh 153,12C1,5.3,7.9,5.9,8.3,6.66
HS154,Học sinh 154,10A3,5.9,5.3,4.8,10,6.16
HS155,Học sinh 155,12C2,5.5,9,3.8,8.8,6.18
HS156,Học sinh 156,12C2,6.2,7.3,8,7.4,7.38
HS157,Học sinh 157,12C2,7.7,8.4,7,8.6,7.74
HS158,Học sinh 158,12C1,5.3,9.2,4.8,9.1,6.64
HS159,Học sinh 159,12C2,4.8,7.1,9.7,9.3,8.12
HS160,Học sinh 160,11B2,2.7,10,4.5,7.7,5.88
HS161,Học sinh 161,10A2,7.5,6.4,6,9.5,7.08
HS162,Học sinh 162,12C1,7.9,7,6.3,8.8,7.26
HS163,Học sinh 163,12C1,7.9,7.5,6.3,9.8,7.56
HS164,Học sinh 164,10A3,10,6.6,5.4,10,7.48
HS165,Học sinh 165,10A1,8.3,6.2,7,8.8,7.46
HS166,Học sinh 166,11B2,8.2,9.2,7.2,9.8,8.32
HS167,Học sinh 167,10A2,5.6,7.3,10,9.2,8.42
HS168,Học sinh 168,10A2,7.2,7,6.2,7.9,6.9
HS169,Học sinh 169,12C2,6.5,9,10,9.5,9
HS170,Học sinh 170,12C2,8.4,7.9,9.8,8,8.78
HS171,Học sinh 171,12C1,5.3,7.8,4.1,9.1,6.08
HS172,Học sinh 172,11B2,5.5,9.3,7.5,8.9,7.74
HS173,Học sinh 173,10A3,7.8,7.3,3.5,8.4,6.1
HS174,Học sinh 174,12C2,7.2,5.2,7,7.8,6.84
HS175,Học sinh 175,11B2,6.7,5.9,2.8,8.1,5.26
HS176,Học sinh 176,10A1,10,5.4,5.1,10,7.12
HS177,Học sinh 177,10A3,8.7,7.3,4.8,9.4,7
HS178,Học sinh 178,10A2,7.5,5.5,8.3,9.5,7.82
HS179,Học sinh 179,10A1,8.3,4.5,7.8,9.1,7.5
HS180,Học sinh 180,11B2,7.6,8.9,7.1,8.5,7.84
HS181,Học sinh 181,10A2,5.7,6.4,8.6,8.6,7.58
HS182,Học sinh 182,12C1,6.7,6.6,6.6,8.3,6.96
HS183,Học sinh 183,10A3,7.9,7.5,7.1,8.5,7.62
HS184,Học sinh 184,10A2,10,7,4.5,9.9,7.18
HS185,Học sinh 185,11B1,3.9,9.4,6.5,8.6,6.98
HS186,Học sinh 186,12C2,6.4,9.6,9.5,9.3,8.86
HS187,Học sinh 187,10A1,8.4,7.8,7.2,9.6,8.04
HS188,Học sinh 188,10A3,8,5.7,3.8,9.1,6.08
HS189,Học sinh 189,10A1,7.3,8.7,10,8,8.8
HS190,Học sinh 190,12C1,6,7.3,8.6,8,7.7
HS191,Học sinh 191,10A2,5.1,4.7,4.9,9.2,5.76
HS192,Học sinh 192,10A2,7,7.7,7.5,8.6,7.66
HS193,Học sinh 193,12C2,5.9,8.5,4.8,8.9,6.58
HS194,Học sinh 194,11B1,5.7,6.5,6,9.1,6.66
HS195,Học sinh 195,10A3,5.6,6.6,6,7.9,6.42
HS196,Học sinh 196,10A1,8.8,8.3,7.2,7,7.7
HS197,Học sinh 197,11B1,8.8,6.6,5.3,9,7
HS198,Học sinh 198,10A3,6.9,5.4,10,9.4,8.34
HS199,Học sinh 199,12C1,5.7,9.2,4,7.8,6.14
HS200,Học sinh 200,11B2,6.6,8,8.3,10,8.24
HS201,Học sinh 201,10A3,6.6,5.2,7.1,7.9,6.78
HS202,Học sinh 202,11B2,7.4,5.9,0,7.6,4.18
HS203,Học sinh 203,11B2,6.3,8.8,8.1,10,8.26
HS204,Học sinh 204,11B2,7.2,7,8.2,9.6,8.04
HS205,Học sinh 205,10A1,7.6,6.1,4.7,7.8,6.18
HS206,Học sinh 206,11B2,8,9.8,5.7,9,7.64
HS207,Học sinh 207,10A3,7.9,7.3,5.9,9.1,7.22
HS208,Học sinh 208,12C2,6.7,6.9,7.1,9.8,7.52
HS209,Học sinh 209,12C2,7.3,4.7,6.4,7.6,6.48
HS210,Học sinh 210,11B2,5.4,7.8,7.5,10,7.64
HS211,Học sinh 211,10A2,9.8,4.3,7.4,8.9,7.56
HS212,Học sinh 212,10A2,9.1,8,5.6,8.5,7.36
HS213,Học sinh 213,10A3,7.1,9.4,9.2,10,8.98
HS214,Học sinh 214,11B1,5.7,4.4,8.5,9.6,7.34
HS215,Học sinh 215,10A2,7.8,4.7,7.2,9.7,7.32
HS216,Học sinh 216,11B2,4,8.6,7.5,7.9,7.1
HS217,Học sinh 217,12C1,6.9,7.9,6.3,10,7.48
HS218,Học sinh 218,10A3,9.3,6.2,5.6,7.8,6.9
HS219,Học sinh 219,10A1,6.1,8.7,6.8,9.6,7.6
HS220,Học sinh 220,11B1,6.5,7.2,8.4,9.2,7.94
HS221,Học sinh 221,12C1,5.3,7.5,5.7,9.4,6.72
HS222,Học sinh 222,11B1,9.3,9.8,7.7,6.9,8.28
HS223,Học sinh 223,10A1,8.7,5,8.8,6.8,7.62
HS224,Học sinh 224,10A3,10,5.9,7.7,8.4,7.94
HS225,Học sinh 225,12C1,8,5.9,7.7,9,7.66
HS226,Học sinh 226,10A3,6.5,6.4,7,7.3,6.84
HS227,Học sinh 227,12C1,4.8,5.8,7.1,7.7,6.5
HS228,Học sinh 228,10A1,7.6,6.4,6.6,7.8,7
HS229,Học sinh 229,10A2,9.4,7.3,7.2,8.2,7.86
HS230,Học sinh 230,10A3,10,8.6,3.9,9.4,7.16
HS231,Học sinh 231,11B1,6.8,8.5,5.8,9.6,7.3
HS232,Học sinh 232,10A3,10,6.2,10,9.7,9.18
HS233,Học sinh 233,12C1,10,6.5,10,8.7,9.04
HS234,Học sinh 234,10A3,9,8.9,6.4,10,8.14
HS235,Học sinh 235,10A3,6.5,5.7,8.2,9.6,7.64
HS236,Học sinh 236,10A3,6,8.3,6,10,7.26
HS237,Học sinh 237,11B1,7.2,6,6.5,6.8,6.6
HS238,Học sinh 238,12C1,5.8,8.3,7.8,9.5,7.84
HS239,Học sinh 239,11B1,2.9,10,6.8,10,7.3
HS240,Học sinh 240,10A2,10,7.2,5.2,7.1,6.94
HS241,Học sinh 241,10A3,10,8.6,5.7,8.9,7.78
HS242,Học sinh 242,11B1,6.6,7.1,3.7,8.4,5.9
HS243,Học sinh 243,11B1,9.2,5,10,9.4,8.72
HS244,Học sinh 244,12C2,5.3,5.8,4.4,9.7,5.92
HS245,Học sinh 245,11B1,2.9,7.1,2.8,8.8,4.88
HS246,Học sinh 246,12C1,5.7,5.8,8.2,8.6,7.3
HS247,Học sinh 247,10A1,7.5,6,6.4,10,7.26
HS248,Học sinh 248,10A1,7.3,9.2,7.3,9.6,8.14
HS249,Học sinh 249,10A3,7.5,5.7,7.1,7.8,7.04
HS250,Học sinh 250,11B1,6.3,6.8,5.8,8,6.54
HS251,Học sinh 251,10A3,8.1,3.5,8.8,8.8,7.6
HS252,Học sinh 252,12C2,6.3,5,7.9,6.4,6.7
HS253,Học sinh 253,12C2,4.1,8.5,7.6,7.8,7.12
HS254,Học sinh 254,12C1,5.6,7.8,8.7,9,7.96
HS255,Học sinh 255,10A2,7.8,6.5,8.3,8,7.78
HS256,Học sinh 256,12C2,5.1,7.6,7.4,8.9,7.28
HS257,Học sinh 257,10A1,8.9,6.7,8,9.5,8.22
HS258,Học sinh 258,10A1,8.5,5.4,6.9,8.8,7.3
HS259,Học sinh 259,11B2,6.7,9.7,8.1,8.9,8.3
HS260,Học sinh 260,11B2,7.8,7.3,6.3,9.3,7.4
HS261,Học sinh 261,11B2,5.7,7.7,6.7,8.5,7.06
HS262,Học sinh 262,12C2,8.7,9.9,3,9.6,6.84
HS263,Học sinh 263,11B2,2.9,7,4.4,7.9,5.32
HS264,Học sinh 264,10A2,6.2,7,9.5,9.2,8.28
HS265,Học sinh 265,10A1,9.5,6,2,10,5.9
HS266,Học sinh 266,11B2,6.2,5.7,6.7,6.9,6.44
HS267,Học sinh 267,10A3,9,7.4,6.5,8.9,7.66
HS268,Học sinh 268,10A3,6.2,5.8,4.2,8.4,5.76
HS269,Học sinh 269,12C1,2.6,7.4,5,7.4,5.48
HS270,Học sinh 270,12C2,10,9,7.5,8,8.4
HS271,Học sinh 271,10A2,7.1,4.1,6.7,8.3,6.58
HS272,Học sinh 272,12C2,6.7,8.1,5.8,7.6,6.8
HS273,Học sinh 273,10A1,5.6,7.2,7,9.1,7.18
HS274,Học sinh 274,12C2,5.1,9.2,5,8.6,6.58
HS275,Học sinh 275,11B2,8.4,8.1,6.4,8.9,7.64
HS276,Học sinh 276,10A1,6.4,7.2,8.5,8.2,7.76
HS277,Học sinh 277,10A1,9.1,5.4,8.6,7.9,7.92
HS278,Học sinh 278,11B1,8.1,8.4,5.9,8.9,7.44
HS279,Học sinh 279,12C2,3.6,8,8.3,8.9,7.42
HS280,Học sinh 280,12C2,3.4,7.7,4.9,7.8,5.74
HS281,Học sinh 281,12C2,2.9,7.9,9.9,6.8,7.48
HS282,Học sinh 282,12C1,5.1,6.5,10,9.4,8.2
HS283,Học sinh 283,10A2,10,5.7,8.1,10,8.38
HS284,Học sinh 284,12C2,4.5,8.8,9.3,10,8.38
HS285,Học sinh 285,10A1,6.3,5.4,5.8,8.3,6.32
HS286,Học sinh 286,10A1,8.7,7.9,7.4,7.9,7.86
HS287,Học sinh 287,12C1,9.4,8.8,6.5,7,7.64
HS288,Học sinh 288,12C1,7.4,10,6.5,10,8.08
HS289,Học sinh 289,12C1,7.1,7.6,8.1,7.6,7.7
HS290,Học sinh 290,10A1,7.5,4.7,9.5,8.2,7.88
HS291,Học sinh 291,11B1,8.6,5.7,5.9,7.1,6.64
HS292,Học sinh 292,12C1,8.4,7.7,10,8.9,9
HS293,Học sinh 293,10A2,8.6,7,7.3,10,8.04
HS294,Học sinh 294,11B1,3.9,6.2,5.6,8.3,5.92
HS295,Học sinh 295,10A3,8.1,4.1,5.9,9.3,6.66
HS296,Học sinh 296,10A2,8.6,10,7,9.3,8.38
HS297,Học sinh 297,12C1,2,9.3,2,8.5,4.76
HS298,Học sinh 298,12C1,5.1,9.2,8.1,9.1,7.92
HS299,Học sinh 299,11B1,4.9,9,8.4,8.6,7.86
HS300,Học sinh 300,10A2,8,7.7,9.8,9.1,8.88
HS301,Học sinh 301,11B2,6.6,7.3,8,9.5,7.88
HS302,Học sinh 302,10A2,8.8,6.6,3.4,7.9,6.02
HS303,Học sinh 303,12C1,5.3,8.4,7.1,8.3,7.24
HS304,Học sinh 304,12C2,5.6,9.7,7.3,8.2,7.62
HS305,Học sinh 305,10A1,6.2,6.1,5.5,7.9,6.24
HS306,Học sinh 306,11B1,9,9.5,5.5,7.8,7.46
HS307,Học sinh 307,11B1,7.9,5.3,1.9,9.4,5.28
HS308,Học sinh 308,12C2,5.1,9.5,4.5,9.8,6.68
HS309,Học sinh 309,10A3,9.8,6,8.8,9.3,8.54
HS310,Học sinh 310,12C1,4.9,6.9,9.7,8.1,7.86
HS311,Học sinh 311,11B2,4.9,8.1,4,8.7,5.94
HS312,Học sinh 312,11B2,6.8,9.1,6.8,8.1,7.52
HS313,Học sinh 313,10A1,5.1,9.6,4.6,8.5,6.48
HS314,Học sinh 314,11B1,7.5,5.6,7.9,9.7,7.72
HS315,Học sinh 315,11B2,8.9,7.2,5.7,9.5,7.4
HS316,Học sinh 316,10A1,8.5,6.2,8.6,7.8,7.94
HS317,Học sinh 317,11B1,8.8,9.3,7.6,9.3,8.52
HS318,Học sinh 318,12C2,5.8,9,6.9,8.8,7.48
HS319,Học sinh 319,11B2,8.2,8.4,2.1,8.7,5.9
HS320,Học sinh 320,12C2,4,5.5,8.4,9.7,7.2
HS321,Học sinh 321,11B1,3.8,4.8,9.5,8.7,7.26
HS322,Học sinh 322,10A2,8.9,8.5,4.5,8,6.88
HS323,Học sinh 323,10A1,6.7,5.2,8.9,8.4,7.62
HS324,Học sinh 324,10A2,7,7.9,7.1,8.8,7.58
HS325,Học sinh 325,11B2,6.1,8.7,4.9,8.9,6.7
HS326,Học sinh 326,10A2,8.8,6.2,5.8,7.2,6.76
HS327,Học sinh 327,10A3,4.8,8,6,7.7,6.5
HS328,Học sinh 328,11B1,5.6,7.1,7.6,9.3,7.44
HS329,Học sinh 329,10A3,6.2,8.2,6.3,9,7.2
HS330,Học sinh 330,12C2,7.7,6.3,9.4,8.4,8.24
HS331,Học sinh 331,12C1,7.3,9.3,7.4,7.2,7.72
HS332,Học sinh 332,10A3,8.4,3.9,5.9,8.8,6.58
HS333,Học sinh 333,11B2,7.6,8.4,7.1,7,7.44
HS334,Học sinh 334,11B1,6.6,10,7.5,10,8.32
HS335,Học sinh 335,12C2,6.3,6.2,6.6,9.5,7.04
HS336,Học sinh 336,10A2,10,6.9,8.1,8.8,8.38
HS337,Học sinh 337,11B1,5.6,6.2,5.8,9.1,6.5
HS338,Học sinh 338,10A2,9.1,7.4,10,9.4,9.18
HS339,Học sinh 339,11B2,9.3,10,7.5,8.7,8.6
HS340,Học sinh 340,11B1,4.4,8.5,6.8,8.9,7.08
HS341,Học sinh 341,10A3,9,7.2,7.5,5.1,7.26
HS342,Học sinh 342,10A2,6.8,3.4,8.2,8.8,7.08
HS343,Học sinh 343,10A3,8.6,5.2,6.2,7.3,6.7
HS344,Học sinh 344,10A1,7.2,10,5.9,8.7,7.54
HS345,Học sinh 345,10A2,10,9.3,10,9.5,9.76
HS346,Học sinh 346,10A2,7.5,6.6,9.2,7.1,7.92
HS347,Học sinh 347,10A3,7.7,5.8,8.4,9.5,7.96
HS348,Học sinh 348,12C2,6.2,9.5,5.2,8.2,6.86
HS349,Học sinh 349,10A1,6.7,6.3,8,7.1,7.22
HS350,Học sinh 350,10A3,9.2,7.8,5.2,8,7.08
HS351,Học sinh 351,12C1,8.4,8.4,6.5,7.5,7.46
HS352,Học sinh 352,12C1,7.7,8.8,7.7,8.5,8.08
HS353,Học sinh 353,10A3,7.2,7.7,3.2,8.7,6
HS354,Học sinh 354,11B2,4.8,5.5,4.2,5.7,4.88
HS355,Học sinh 355,11B2,3.7,3.2,6.9,10,6.14
HS356,Học sinh 356,10A1,7.6,5,6.9,9.3,7.14
HS357,Học sinh 357,11B2,4,6.2,7.7,8.3,6.78
HS358,Học sinh 358,10A2,9.4,5.3,10,8.2,8.58
HS359,Học sinh 359,11B1,6.3,7.2,7.3,8,7.22
HS360,Học sinh 360,10A3,8.2,4.8,3.5,7.5,5.5
HS361,Học sinh 361,12C2,7.6,6.2,4.9,8.6,6.44
HS362,Học sinh 362,12C2,8.3,6.9,8.1,9.8,8.24
HS363,Học sinh 363,11B2,3.8,8.4,4.3,10,6.16
HS364,Học sinh 364,10A1,7.1,8.9,7.5,7.9,7.78
HS365,Học sinh 365,10A1,6.5,6.6,7.9,9.2,7.62
HS366,Học sinh 366,10A1,8.4,8.6,4.3,9.1,6.94
HS367,Học sinh 367,10A2,6.1,6.4,6.1,10,6.94
HS368,Học sinh 368,10A3,8.9,9.6,7,7.8,8.06
HS369,Học sinh 369,11B1,6.1,7.5,7,10,7.52
HS370,Học sinh 370,12C2,6.3,9.1,8.6,9.3,8.38
HS371,Học sinh 371,12C2,6.6,7.1,6.4,6.9,6.68
HS372,Học sinh 372,10A2,8.6,8.9,5.2,8.6,7.3
HS373,Học sinh 373,10A3,8.1,7.8,5.1,8.5,6.92
HS374,Học sinh 374,11B1,1.6,5.9,6.7,7.6,5.7
HS375,Học sinh 375,10A3,8.2,4.3,8.8,7.8,7.58
HS376,Học sinh 376,11B1,4.1,5.8,4.7,9,5.66
HS377,Học sinh 377,12C1,3.6,7.7,9,9.2,7.7
HS378,Học sinh 378,12C2,2.9,9.4,10,8.7,8.2
HS379,Học sinh 379,12C2,4.1,8.1,10,7.4,7.92
HS380,Học sinh 380,12C1,4.3,9.2,7,8.8,7.26
HS381,Học sinh 381,11B2,8.3,9.6,4.6,8.2,7.06
HS382,Học sinh 382,10A3,7.1,6.9,6,7.2,6.64
HS383,Học sinh 383,10A3,8.5,6.1,7.3,9.8,7.8
HS384,Học sinh 384,10A3,8.4,7.6,4.8,7.7,6.66
HS385,Học sinh 385,12C1,5,9,8.1,7.7,7.58
HS386,Học sinh 386,10A2,7.6,5.9,6.2,7.6,6.7
HS387,Học sinh 387,12C2,6.9,5.7,10,6.9,7.9
HS388,Học sinh 388,10A1,7.8,8.3,7.1,8.6,7.78
HS389,Học sinh 389,11B1,5,7.9,5.2,9,6.46
HS390,Học sinh 390,11B1,7.2,6.8,8.7,7.2,7.72
HS391,Học sinh 391,11B1,5.3,8.1,5.8,8.3,6.66
HS392,Học sinh 392,10A1,9.5,4.5,8.4,9.2,8
HS393,Học sinh 393,11B2,6.6,8.6,6.2,7.4,7
HS394,Học sinh 394,12C1,8.2,7.3,2.7,9.3,6.04
HS395,Học sinh 395,12C1,5.8,9.6,6.9,8.2,7.48
HS396,Học sinh 396,12C1,5.6,8.1,6.1,9.3,7.04
HS397,Học sinh 397,10A3,8.8,7.8,9,10,8.92
HS398,Học sinh 398,11B1,4.9,8.7,7.7,10,7.8
HS399,Học sinh 399,10A1,5.2,6.1,3.8,9.3,5.64
HS400,Học sinh 400,10A3,9,8.8,6.3,9.3,7.94
